Abbrev	Full text	Occurences
SSCAA	Scleroderma and other autoimmune diseases	1
ADHD_RD	ADHD and Related Disorders	1
MDNS	Diseases of Muscle and the Nervous System	1
DS-DEM	Disease-Specific (Dementia)	4
HM-B-GSO-NIC	Health/Medical/Biomedical - Genetic Studies Only-No Insurance Companies	2
EGA	Esophageal and gastric cancer in adults	1
CODA	Cancer and other important diseases in adults	1
DIS	Diseases of the Immune System	1
DS-IBD-IRB	Disease-Specific (Inflammatory Bowel Disease, IRB)	1
PCOS	Genetic Analysis of Polycystic Ovary Syndrome	1
NUGENE	NUgene Biorepository	1
CRGM	Cancer Research and General Methods	8
HDR	Huntington's Disease Research	1
ADR	Alzheimer's Disease Genetics Consortium	1
DS-AGR1-RD	Disease-Specific (Aging Related 1, RD)	2
DS-AGR2-RD	Disease-Specific (Aging Related 2, RD)	1
DS-AGR3-RD	Disease-Specific (Aging Related 3, RD)	1
NPU	Non Profit Research Use	2
DS-PDND	Disease-Specific (Parkinson's disease or other neurodegenerative disorders)	1
HR_GC_NASH	Health Research - Geisinger Clinic -NASH	2
HR_GC_MYCODE	Health Research - Geisinger Clinic - MyCode	1
HRGM	Health Research and General Methods	1
HR_GC_AAA	Health Research - Geisinger Clinic - AAA	1
HR_MSSM	Health Research - MSSM	1
OSTEO	Osteoporosis	1
ARU	Academic Research Use	1
EGC	Esophageal and stomach cancer	1
GRU-IRB-NPU	General Research Use (IRB, NPU)	22
DS-LARHC-IRB-NPU	Disease-Specific (Longevity, age-related health conditions, IRB, NPU)	1
NAR	Nicotine Addiction Research	1
ADHD	Attention Deficit Hyperactivity Disorder	1
GRU-NPU-MDS	General Research Use (NPU, MDS)	9
DS-TS-NPU	Disease-Specific (Tourette Syndrome, NPU)	2
ICHRD	Intracerebral Hemorrhage or Related Neurological Disorders	1
CRGM_IRB	Cancer Research and General Methods	1
CRO	Cancer Research Only	5
FECD	FECD Studies Only	1
BRU	Biomedical Research Use	1
NPR	Non-profit research use only	1
RAR	Rheumatoid arthritis and related	1
LGRU	General Research Use except HIV/AIDS	1
SR	Stroke and Risk factors for stroke	1
AAS	Accelerated Aging Syndromes	1
DS-ASD-RD	Disease-Specific (Autism Spectrum Disorder, RD)	4
DS-CFD	Disease-Specific (Craniofacial Disorders)	3
OH	Oral Health	1
PBCRC	Primary Biliary Cirrhosis and Related Conditions	1
HVI	Hemophilia and Viral Infections	1
DS-BLD-MDS	Disease-Specific (Blood and Lymph Disorders, MDS)	1
DS-M	Disease-Specific (Melanoma)	2
OC-IRB-COL-GSO-BEATY	Oral Clefts, IRB, COL, GSO, BeatyT	1
DS-CFD-GSO	Disease-Specific (Craniofacial Disorders, GSO)	1
OC-IRB-COL-GSO-BAILEYWILSON	Oral Clefts, IRB, COL, GSO, Bailey-WilsonJ	1
OC-IRB-COL-GSO-MANGOLD-NOTHEN	Oral Clefts, IRB, COL, GSO, MangoldE-NothenM	1
DS-OFC	Disease-Specific (Orofacial Cleft)	2
DAR	Diabetes and Related Conditions	1
BMF	Bone Marrow Failure Conditions	1
PHPH	Pseudohypoparathyroidism or Related Disorders	1
FRD	Genetic Defects in familial renal disorders	1
CCDD	Strabismus, cranial nerve abnormalities and associated disorders	1
DS-BRCA	Disease-Specific (Breast Cancer)	17
ADRD	Alzheimer's disorder and related disorders	1
IKD	Kidney diseases	1
CDH	Congenital Diaphragmatic Hernia and Related Disorders	1
DS-PD-RSC	Disease-Specific (Psychiatric Disorders and Related Somatic Conditions)	3
PCRCM	Prostate Cancer Research and Cancer Methods	1
LCO	Lung Cancer Only	1
CRMO	Cancer and Methods Research Only	1
HEC	Human Epilepsy and Cognition	1
NPR	Non-profit Research	1
HR_CCHMC	Health Research - Cincinnati Children's Hospital Medical Center	1
HR_CHB	Health Research - Children's Hospital Boston	1
DS-HD	Disease-Specific (Hirschsprung Disease)	1
CRGM_PUB	Cancer Research and General Methods with Publication Statement	1
HTG	Hypertriglyceridemia type I, III, and V	1
CD	Cardiovascular Disease	1
DS-CA	Disease-Specific (Cancer)	58
DS-M-MDS	Disease-Specific (Melanoma, MDS)	3
RDP	Research in Developmental Psychopathology	1
GRU-IRB-PUB	General Research Use (IRB, PUB)	94
PCRGM	Pediatric Cancer Research and General Methods	1
AHC	All Health Conditions	1
KHB	Research on Disease of Kidney, Heart and Blood Vessels	1
HD	Heart Disease	1
DCT	Disorders of Connective Tissues	1
MDD	Muscle Development Disorders	1
DS-CIM	Disease-Specific (Chemotherapy Induced Mucositis)	1
DS-STK-IRB-RD	Disease-Specific (Stroke, IRB, RD)	1
BCETC	Breast cancer, study drug efficacy and toxicity, and covariates	1
ASP	Aspirin-Related Research	1
DS-BD-MDS	Disease-specific (Blood Disorders, MDS)	1
DS-BDBC-NPU-MDS	Disease-Specific (Brain Disorders and Brain Cancer, NPU, MDS)	1
EA	Exchange Area use by PAGE study investigators only	3
DS-CF	Disease-Specific (Cystic Fibrosis)	2
HPBLM	Metabolism and Genetics of Hypobetalipoproteinemia: Population Screen	1
DS-BST-GSO	Disease-Specific (Brain and Spinal Tumors, GSO)	1
DS-CHD	Disease-Specific (Congenital Heart Disease)	6
DS-ALZ-IRB-NPU	Disease-Specific (Alzheimer Disease, IRB, NPU)	1
DS-ND-IRB	Disease-Specific (Neurodegenerative Disease, IRB)	1
DS-ALZ-IRB	Disease-Specific (Alzheimer Disease, IRB)	1
DS-ND-IRB-NPU	Disease-Specific (Neurodegenerative Disease, IRB, NPU)	1
DS-GI-MDS	Disease-Specific (Gastrointestinal Illness, MDS)	1
DS-FDC	Disease Specific (Familial Dilated Cardiomyopathy)	1
DS-LD	Disease Specific (Lung Diseases)	1
T2DMS	Type 2 diabetes and metabolic syndrome	1
DS-AA-MDS-RD	Disease-Specific (Alopecia areata, MDS, RD)	1
DS-CLA	Disease-Specific (Cardiovascular disease, lipoprotein metabolism disorders/atherosclerosis)	1
DS-HEC	Disease-Specific (Human Esophageal Cancer)	1
DS-CA-NPU-MDS	Disease-specific-Cancer	1
AARC	Alzheimer's and age related conditions	2
DS-CROTx	Cancer Treatment Research Only	1
DS-PBDPBC-NPU-MDS	Disease-Specific (Pediatric Brain Disorders and Pediatric Brain Cancer, NPU, MDS)	1
DS-STK-NPU	Disease-Specific (Stroke, NPU)	1
DS-OBS-IRB-RD	Disease-Specific (Obesity, IRB, RD)	1
DS-HTG-MDS-RD	Disease-Specific (Hypertriglyceridemia, MDS, RD)	1
HMB-PUB-MDS	Health/Medical/Biomedical (PUB, MDS)	14
DS-CFR	Disease-Specific (Craniofacial Research)	5
DS-LD-IRB-PUB-MDS	Disease-Specific (Lung Diseases, IRB, PUB, MDS)	1
DS-OC-GSO	Disease-Specific (Oral Clefts, GSO)	1
DS-LC-IRB-COL-MDS	Disease-Specific (Lung Cancer, IRB, COL, MDS)	1
DS-BRCA-PUB-MDS	Disease-Specific (Breast Cancer, PUB, MDS)	2
DS-PACA	Disease-Specific (Pancreatic Cancer)	1
PEAR	All PEAR patients	1
DS-CKD-COMP-IRB	Disease-Specific (Chronic Kidney Disease and Related Complications, IRB)	4
DS-GAO-GSO	Disease-Specific (Glioma in Adults Only, GSO)	1
DS-NMD	Disease-Specific (Neuromuscular Disease)	1
IRU	Immunology Research Use	1
NR	No data use restrictions	1
DS-PC	Disease-Specific (Prostate Cancer)	11
HBM	Health/Biomedical/Medical-IRB	1
DS-DILI-IRB	Disease-Specific (Drug-Induced Liver Injury, IRB)	1
DS-IR-IRB	Disease-Specific (Immunological Research, IRB)	4
DS-BRCA-COL-MDS-GSO	Disease-Specific (Breast Cancer, COL, MDS, GSO)	1
DS-ADO	Disease-Specific (Autoimmune Diseases)	3
DS-DHD-IRB	Disease-Specific (Diabetes and Heart Disease, IRB)	1
DS-ESD-GSO	Disease-Specific (Epilepsy and seizure disorders, GSO)	3
DS-BPD-RD	Disease-Specific (Bipolar Disorder, RD)	1
DS-EP	Disease-Specific (Epilepsy)	4
DS-SL_AN-NPU	Disease-Specific (Skin Laxity or Arterial Narrowing, NPU)	1
DS-SASC	Disease-Specific (Supravalvular Aortic Stenosis or Cutix Laxa)	1
DS-SKDYS	Disease-Specific (Skeletal Dysplasias)	1
DS-BAV-IRB-PUB-RD	Disease-Specific (Bicuspid Aortic Valve, IRB, PUB, RD)	1
DS-BAB	Disease-Specific (Brain Abnormalities)	1
DS-SKDYS-RD	Disease-Specific (Skeletal Dysplasias, RD)	1
DS-HSS	Disease-Specific (Hallervorden-Spatz Syndrome)	1
DS-NDRD	Disease-Specific (Neurological and Related Disorders)	2
DS-PRO	Disease-Specific (Progeria)	1
DS-GIDIS	Disease-Specific (Genetic and Inherited Disorders)	1
DS-RCTD	Disease-Specific (Rare Disorders Involving Malformations of Head and Neck)	1
DS-HECD	Disease-Specific (Epilepsy and Disorders of Human Cognition)	1
DS-LPARS-IRB	Disease-Specific (Lipodystrophy, Premature Aging, or Related Syndromes, IRB)	1
DS-IPF	Disease-Specific (Idiopathic Pulmonary Fibrosis)	1
DS-LIVD	Disease-Specific (Liver Disease)	2
DS-HFA	Disease-Specific (Head and Face)	1
DS-IF	Disease-Specific (Idiopathic Fibrosis)	1
DS-TC-IRB	Disease-Specific (Thyroid Cancer, IRB)	1
DS-PLGD-NPU	Disease-Specific (Pediatric Liver or Gut Disease, NPU)	1
DS-LD	Disease-Specific (Lung Diseases)	1
DS-TRIC	Disease-Specific (Trichelemmel Cysts)	1
DS-NBIA	Disease-Specific (Neurodegeneration with Brain Iron Accumulation)	1
DS-CHD-IRB	Disease-Specific (Congenital Heart Disease, IRB)	2
DS-CHC	Disease-Specific (Hereditary Condition Causes)	1
DS-SHFM	Disease-Specific (Split Hand Foot Malformations and Related Disorders)	1
DS-CERD	Disease-Specific (Causes or Etiology of Rare Diseases)	1
DS-BDIS	Disease-Specific (Brain Disorders)	1
DS-CHDEF	Disease-Specific (Congenital Heart Defects)	1
DS-LYD	Disease-Specific (Lymphatic Disease)	1
DS-CA-NPU-MDS	Disease-Specific (Cancer, NPU, MDS)	4
DS-HND-NPU	Disease-Specific (Hereditary Neurological Disorders, NPU)	1
DS-TH	Disease-Specific (Thromboembolic disorders and hemorrhage)	2
DS-CA-IRB-MDS	Disease-Specific (Cancer, IRB, MDS)	4
UR	Unrestricted	2
DS-PREG-COM-RD	Disease-Specific (Pregnancy Complications, RD)	1
DS-LC-MDS	Disease Specific (LC, MDS)	1
DS-PC-MDS	Disease-Specific (Prostate Cancer, MDS)	14
DS-DS-IRB-RD	Disease-Specific (Down Syndrome, IRB, RD)	1
DS-PNTM-IRB	Disease-Specific (Pulmonary non-tuberculous mycobacterial infection, IRB)	1
GRU-PUB-MDS	General Research Use (PUB, MDS)	6
DS-MH	Disease-Specific (Men's Health)	1
DS-LC	Disease-Specific (Lung Cancer)	4
DS-LYM-MDS	Disease-Specific (Lymphoma, MDS)	1
DS-CRM	Disease-Specific (Cancer Research and Methods)	2
DS-T2D-IRB-RD	Disease-Specific (Type 2 Diabetes, IRB, RD)	8
DS-RARED	Disease-Specific (Rare Disease)	2
DS-GSD-GSO	Disease-Specific (Genetic Skin Disease, GSO)	1
DS-MC	Disease-Specific (Mendelian Conditions)	1
DS-MCDMS	Disease-Specific (Moyamoya, Chiari Disease, Mesial Sclerosis)	1
DS-GD	Disease-Specific (Gaucher Disease)	1
DS-THAL-IRB	Disease-Specific (Thalassemia, IRB)	1
DS-BPEAKD	Disease-Specific (Abnormal Blood Pressure, Electrolyte Abnormalities, or Kidney Diseasey)	1
DS-RD	Disease-Specific (Reproductive Disorders)	2
DS-MCRD-MDS	Disease-Specific (Myeloma and other cancer-related disorders, MDS)	2
DS-LD-IRB-PUB	Disease-Specific (Lung Disease, IRB, PUB)	1
DS-CBCDAA	Disease-Specific (Cardio-Brain-Cancer-Diabetes-Asthma-Allergy)	1
DS-NDR-IRB	Disease-Specific (Neurological Disorders Research, IRB)	2
DS-TMJD-RD	Disease-Specific (Temporomandibular Joint Disorder, RD)	4
DS-ALC-IRB-RD	Disease-Specific (Alcoholism, IRB, RD)	2
DS-CLL	Disease-Specific (Chronic Lymphocytic Leukemia)	2
DS-HIV	Disease-Specific (Human Immunodeficiency Virus)	1
DS-BLADDERCA	Disease-Specific (Bladder Cancer)	2
DS-GEN-URI-CA	Disease-Specific (Genitourinary Cancer)	1
DS-MCCD-IRB-NPU	Disease-Specific (3-Methylcrotonyl-CoA Carboxylase Deficiency, IRB, NPU)	1
DS-CA-IRB	Disease-Specific (Cancer, IRB)	8
DS-CDH-IRB-COL	Disease-Specific (Congenital Diaphragmatic Hernia, IRB, COL)	1
DS-HCR-IRB	Disease-Specific (High blood pressure and related cardiovascular-renal disease, IRB)	2
DS-SKCA	Disease-Specific (Skin Cancer)	1
DS-ADO-IRB-PUB	Disease-Specific (Autoimmune Diseases, IRB, PUB)	1
GRU-PUB-NPU	General Research Use (PUB, NPU)	12
DS-NHL-NPU-GSO	Disease-Specific (non-Hodgkin Lymphoma, NPU, GSO)	6
DS-CA-IRB-NPU-GSO	Disease-Specific (Cancer, IRB, NPU, GSO)	6
DS-MULT	Disease-Specific (MULTIPLE)	1
APTC	For the use in future research to learn about, prevent or treat cancer	1
CADM	Cancer in all age groups, other disease in adults only and methods	2
DS-BOED-MDS	Disease-Specific (Breast, Ovarian, or Endometrial Disease, MDS)	9
DS-IR	Disease-Specific (Immunological Research)	4
DS-GLCS-GSO	Disease-Specific (Cancer - Germline genetic susceptibility, GSO)	2
DS-UM-NPU	Disease-Specific (Uveal Melanoma, NPU)	2
DS-PLC-GSO	Disease-Specific (Pediatric Liver Cancer, GSO)	1
DS-SKCA-MDS	Disease-Specific (Skin Cancer, MDS)	1
DS-ALS	Disease-Specific (Amyotrophic Lateral Sclerosis)	1
DS-UC-MDS	Disease-Specific (Urinary Conditions, MDS)	2
GRU-PUB	General Research Use (PUB)	56
DS-EC	Disease-Specific (Endometrial Carcinoma)	1
DS-DIAB-IRB-RD	Disease-Specific (Diabetes, IRB, RD)	2
CHALLENGE	Up for a Challenge (Publication required)	1
CHALLENGE-NPU	Up for a Challenge (Not for Profit Use Only, Publication required)	1
DS-ADMH-IRB-GSO-RD	Disease-Specific (Addiction and Mental Health, IRB, GSO, RD)	1
DS-LCTC-MDS	Disease-Specific (Lung Cancer and Thoracic Malignancies, MDS)	5
HMB-PUB-NPU	Health/Medical/Biomedical (PUB, NPU)	25
DS-RCC-NPU-MDS	Disease-Specific (Kidney Cancer, NPU, MDS)	1
DS-BPD	Disease-Specific (Bipolar Disorder)	3
DS-PD-RSC-RD	Disease-Specific (Psychiatric Disorders and Related Somatic Conditions, RD)	1
DS-EP-GSO	Disease-Specific (Epilepsy, GSO)	1
DS-LCS-RD	Disease-Specific (Lung Cancer or Smoking, RD)	4
LCRF	Lung Cancer Risk Factors	4
DS-HTD	Disease-Specific (Heart Disease)	2
DS-CHILDD	Disease-Specific (Childhood Diseases)	2
GRU-COL-MDS	General Research Use (COL, MDS)	1
HMB-PUB-NPU-MDS-GSO	Health/Medical/Biomedical (PUB, NPU, MDS, GSO)	14
DS-CHRONIC	Disease-Specific (Chronic Diseases)	1
DS-ENDOMETRIAL-MDS	Disease-Specific (Endometrial Diseases, MDS)	1
DS-EC-MDS	Disease-Specific (Endometrial Carcinoma, MDS)	1
DS-OCD-OPC	Disease-Specific (Obsessive Compulsive Disorder and other psychiatric conditions)	1
DS-PD-IRB	Disease-Specific (Parkinson's Disease, IRB)	1
DS-T1DR-IRB-RD	Disease-Specific (Type 1 diabetes, its complications and other autoimmune diseases, IRB, RD)	8
DS-CABNHD-MDS	Disease-Specific (Cancer, benign neoplasms, or hematopoietic diseases related to cancer, MDS)	1
GRU-COL	General Research Use (COL)	35
GRU-IRB-PUB-COL-NPU-GSO	General Research Use (IRB, PUB, COL, NPU, GSO)	2
DS-CVD-NPU	Disease-Specific (Cardiovascular Disease, NPU)	2
DS-LD-IRB-COL	Disease-Specific (Lung Diseases, IRB, COL)	4
EA-IRB-COL	Exchange Area (IRB, COL)	9
DS-CRM-MDS	Disease-Specific (Cancer Research and Methods, MDS)	1
DS-GCT-MDS	Disease-Specific (Germ Cell Tumors, MDS)	1
DS-CMP-MDS	Disease-Specific (Cardiomyopathy, MDS)	1
DS-CMP-MD-MDS	Disease-Specific (Cardiomyopathy and Mitochondrial Disease, MDS)	1
DS-IBD-IRB-RD	Disease-Specific (Inflammatory Bowel Disease, IRB, RD)	1
DS-BRCA-MDS	Disease-Specific (Breast Cancer, MDS)	14
DS-BROC-GSO	Disease-Specific (Breast and Ovarian cancer, GSO)	1
DS-CA-GSO	Disease-Specific (Cancer, GSO)	3
DS-CA-IRB-PUB-COL-NPU-MDS-GSO	Disease-Specific (Cancer, IRB, PUB, COL, NPU, MDS, GSO)	1
CABNHD-MDS	Cancer, Benign Neoplasms, or Hematopoietic Diseases (MDS)	2
DS-BRD	Disease-Specific (Breast Diseases)	2
HMB-PUB	Health/Medical/Biomedical (PUB)	47
DS-CA-PUB	Disease-Specific (Cancer, PUB)	28
NMSB	Nicotine metabolism and smoking behaviors	1
DS-M-MDS-GSO	Disease-Specific (Melanoma, MDS, GSO)	1
DS-MI	Disease-Specific (Myocardial Infarction)	3
DS-LC-MDS	Disease-Specific (Lung Cancer, MDS)	1
DS-ADO-IRB	Disease-Specific (Autoimmune Diseases, IRB)	1
DS-ADX-IRB-RD	Disease-Specific (Addictive Disorders, IRB, RD)	1
DS-PACA-IRB-NPU-MDS	Disease-Specific (Pancreatic Cancer, IRB, NPU, MDS)	1
EA-IRB-NPU	Exchange Area (IRB, NPU)	7
DS-OA-RD	Disease-Specific (Osteoarthritis, RD)	1
EA-IRB-MDS	Exchange Area	2
DS-SZRD-IRB-GSO	Disease-Specific (Schizophrenia and related disorders, IRB, GSO)	1
HMB-IRB-GSO	Health/Medical/Biomedical (IRB, GSO)	1
DS-BA-IRB-NPU-GSO	Disease-Specific (Biliary Atresia, IRB, NPU, GSO)	1
DS-CC-NPU-GSO	Disease-Specific (Colorectal Cancer, NPU, GSO)	16
DS-CC-MDS	Disease-Specific (Colorectal Cancer, MDS)	18
DS-ETND-NPU-MDS-GSO-RD	Disease-Specific (Essential Tremor and Neurodegenerative Diseases, NPU, MDS, GSO, RD)	1
DS-ECA-COL	Disease-Specific (Endometrial Cancer, COL)	2
EA-IRB-PUB-COL-NPU-GSO	Exchange Area	1
DS-PC-PUB-MDS	Disease-Specific (Prostate Cancer, PUB, MDS)	4
DS-CRYPT-PUB-COL-NPU-GSO	Disease-Specific (Cryptorchidism, PUB, COL, NPU, GSO)	1
DS-ASTHMA-IRB-MDS-RD	Disease-Specific (Asthma, IRB, MDS, RD)	1
DS-CA-IRB-PUB	Disease-Specific (Cancer, IRB, PUB)	2
DS-AF-IRB-RD	Disease-Specific (Atrial Fibrillation, IRB, RD)	6
DS-MSC	Disease-Specific (Melanoma and Skin Cancer Research)	2
DS-DHD-IRB-NPU-MDS-RD	Disease-Specific (Diabetes and Heart Disease, IRB, NPU, MDS, RD)	3
DS-AAR-IRB	Disease-Specific (Allergy, Asthma, and Respiratory, IRB)	1
DS-ME-CFS-IRB	Disease-Specific (Myalgic Encephalopathy - Chronic Fatigue Syndrome, IRB)	1
DS-RCCA-MDS-RD	Disease-Specific (Renal Cell Carcinoma, MDS, RD)	1
DS-SZRD	Disease-Specific (Schizophrenia and related disorders)	4
DS-SLE-NPU-MDS-RD	Disease-Specific (Systemic lupus erythematosus, NPU, MDS, RD)	1
HMB-PUB-NPU-MDS	Health/Medical/Biomedical (PUB, NPU, MDS)	9
DS-AMD	Disease-Specific (Age-Related Macular Degeneration)	2
DS-CC	Disease-Specific (Colorectal Cancer)	5
DS-AMD-IRB	Disease-Specific (Age-Related Macular Degeneration, IRB)	1
DS-NTT	Disease-Specific (Nervous Tissue Tumors)	1
DS-M-RD	Disease-Specific (Melanoma, RD)	1
DS-CA-PUB-MDS-GSO	Disease-Specific (Cancer, PUB, MDS, GSO)	1
DS-CVD-IRB-NPU-RD	Disease-Specific (Cardiovascular Disease, IRB, NPU, RD)	1
DS-IBD	Disease-Specific (Inflammatory Bowel Disease)	2
GRU-IRB-PUB-GSO	General Research Use (IRB, PUB, GSO)	3
DS-RCC-IRB	Disease-Specific (Kidney Cancer, IRB)	1
DS-ADX-IRB-NPU	Disease-Specific (Addictive Disorders, IRB, NPU)	1
O-MDS_ONLY	Methods Only	1
DS-COPD	Disease-Specific (Chronic Obstructive Pulmonary Disease)	3
DS-COPD-NPU	Disease-Specific (Chronic Obstructive Pulmonary Disease, NPU)	3
DS-LD	Disease-Specific (Lung Disease)	2
DS-OVCA-NPU-MDS	Disease-Specific (Ovarian Cancer, NPU, MDS)	6
DS-OVCA-MDS-GSO	Disease-Specific (Ovarian Cancer, MDS, GSO)	6
DS-OVCA-MDS	Disease-Specific (Ovarian Cancer, MDS)	6
DS-OVCA	Disease-Specific (Ovarian Cancer)	6
DS-OVCA-NPU	Disease-Specific (Ovarian Cancer, NPU)	6
DS-OVTU	Disease-Specific (Ovarian Tumors)	6
