name	sheet:consortium	tag:tags:consortium	study_accession	tag:tags:dbGaP	tagsSheet:tag:tags:dbGaP	library:dataUseRestriction	tag:tags:consent_code	library:indication	library:studyDesign	library:datatype.items	library:numSubjects	subjectCount	bucketName	sampleCount	participantCount	familyCount	discoveryCount	bucketSize	requestorPays
AnVIL_CCDG_Broad_NP_Epilepsy_ITAICB_HMB-NPU-MDS_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	447	0	fc-secure-0878338b-1f00-4543-b904-b9e176980764	447	447	0	0	79227499036	FALSE
AnVIL_CSER_CHARM_GRU	CSER	CSER	Unspecified	Unspecified	Unspecified	GRU	Unspecified	Unspecified				0	fc-secure-0884159e-e5c1-4e73-82a0-e722e1bacf6f	827	0	0	0	4352899690876	TRUE
AnVIL_ccdg_asc_ndd_daly_talkowski_chung_asd_exome	CCDG	CCDG	Unspecified	Unspecified	phs000298	NA	Unspecified	NA	NA	Exome	523	0	fc-secure-08bb70e6-9fa1-40dc-8822-41d73945c053	523	523	0	0	829989110330	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_DEUPUM_HMB-MDS_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	474	0	fc-secure-091a4143-f766-41a4-96bb-3c28464ae335	332	332	0	0	61299797771	FALSE
AnVIL_CCDG_Broad_CVD_EOCAD_TaiChi_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001487	DS-CVD-IRB-COL-MDS	Unspecified	cardiovascular system disease	Case Study	Whole Genome	773	0	fc-secure-09e06b8a-30e8-47a8-8faa-ec7201bc120d	773	773	0	0	15135710520661	TRUE
AnVIL_CCDG_WashU_CVD_Eufam_WGS	CCDG	CCDG	Unspecified	Unspecified	registration pending	DS-LMC-IRB	Unspecified	coronary artery disease	case study	Whole Genome	87	87	fc-secure-0aabe38b-bfbd-40ee-83fa-23e70329be00	87	0	0	0	1329797070058	TRUE
AnVIL_CCDG_Broad_AI_IBD_Brant_DS-IBD_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001642	DS-GI	Unspecified	inflammatory bowel disease	NA	Whole Genome	177	0	fc-secure-0ac23157-c61b-47c0-9567-a5296e124a84	199	199	0	0	2609676245102	TRUE
AnVIL_ccdg_asc_ndd_daly_talkowski_ac-boston_asd_exome	CCDG	CCDG	Unspecified	Unspecified	phs000298	NA	Unspecified	NA	NA	Exome	757	0	fc-secure-0aedc988-3736-496c-b7ac-20cca5b3ceb9	757	757	0	0	1267368216265	TRUE
AnVIL_CCDG_WashU_AI_T1D_T1DGC_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001222	DS-DRC-IRB-NPU	Unspecified	type 1 diabetes mellitus	N/A	Whole Genome	3397	3397	fc-secure-0b19bbb9-481f-404d-a4a6-3024b7c4b698	3397	0	0	0	57257658296412	TRUE
anvil_ccdg_broad_ai_ibd_daly_xavier_share_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	NA	NA	Genotyping Array	709	0	fc-secure-0c14dcfc-8424-4d1c-9f66-97667adac02c	709	706	0	0	122047072305	FALSE
AnVIL_eMERGE_GRU-NPU_eMERGEseq	eMERGE	Unspecified	Unspecified	phs001616	Unspecified	GRU-NPU	GRU-NPU	precision medicine	Prospective Longitudinal Cohort	Exome Panel	5907	5907	fc-secure-0c39611e-bbee-4917-9a85-9beb31a49420	5907	0	0	0	0	FALSE
AnVIL_CCDG_WashU_CVD_Wisconsin_WGS	CCDG	CCDG	Unspecified	Unspecified	registration pending	GRU-IRB-COL	Unspecified	coronary artery disease	Case/Control	Whole Genome	84	84	fc-secure-0c8958a9-8b70-421e-81a5-a30a3a332e55	84	0	0	0	1275055626640	TRUE
anvil_nhgri_broad_ibd_daly_kugathasan_wes	CCDG	CCDG	Unspecified	Unspecified	phs001642	NA	Unspecified	NA	NA	Exome	546	0	fc-secure-0ca0c5e6-26ca-47ea-b509-ec4eaa058fc6	546	546	0	0	810233038841	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_USAMON_GRU_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	238	0	fc-secure-0cd49bfe-f040-4930-a077-8d1c494e190b	238	238	0	0	43481230278	FALSE
AnVIL_CMG_Broad_Brain_Thaker_WES	CMG	CMG	Unspecified	RegistrationPending	phs001272	NA	Unspecified	NA	NA	Exome	46	0	fc-secure-0d760c51-e09a-46c8-91ef-50597a522926	46	46	0	0	50937722190	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_AUSAUS_EPI_BA_ID_MDS_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	14	0	fc-secure-0de89e54-2149-4e06-81f9-da5af48c68a3	24	24	0	0	44564139929	TRUE
AnVIL_PAGE_BioMe_GRU_WGS	PAGE	PAGE	Unspecified	Unspecified	Unspecified	GRU	Unspecified	N/A	Prospective Longitudinal Cohort	Whole Genome	307	307	fc-secure-0e71f746-0db3-4ff7-ba65-4a454d8ff0e1	307	0	0	0	7986065964321	TRUE
AnVIL_CMG_Broad_Orphan_VCGS-White_WES	CMG	CMG	phs001272.v1.p1.c3	phs001272	Unspecified	NA	Unspecified	NA	NA	Exome	677	447	fc-secure-0e876de4-dc38-4e3d-98c0-822963e9df17	677	230	447	447	1060193184413	TRUE
anvil_ccdg_broad_ai_ibd_niddk_daly_silverberg_wes	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	IBD	Case-Control	Exome	2462	0	fc-secure-0eba3dae-89be-4642-8982-9a80a7428cd2	2462	2444	0	0	3342256362204	TRUE
AnVIL_CCDG_Broad_CVD_AF_Darbar_UIC_Controls_WES	CCDG	CCDG	Unspecified	RegistrationPending	registration pending	NA	Unspecified	NA	NA	Exome	305	0	fc-0ed1ef2d-1039-4c8a-a0a9-91c3e385200a	305	305	0	0	272549398776	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_USACRW_DS_SEIZD_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Genotyping Array	187	0	fc-secure-0ede3037-eebf-46b6-9ec4-3b23893c3140	187	187	0	0	32931844504	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_FINKPH_EPIL_CO_MORBIDI_MDS_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	904	0	fc-secure-0f948ad2-2ae8-433c-9f0c-941c4c5e4a89	904	904	0	0	1374651058180	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_DEUUTB_HMB-NPU-MDS_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	1654	0	fc-secure-0fc5a889-f57e-40a1-9859-c5b1e8a196d1	1654	1654	0	0	2313885122654	TRUE
AnVIL_CCDG_Broad_CVD_AFib_Penn_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001601	HMB, IRB, PUB	Unspecified	atrial fibrillation	NA	Whole Genome	418	0	fc-secure-10b393b7-8607-4999-b1c5-18b9aabb49d6	418	418	0	0	8558108392752	TRUE
AnVIL_PAGE_Stanford_Global_Reference_Panel_GRU_WGS	PAGE	PAGE	Unspecified	Unspecified	Unspecified	GRU	Unspecified	N/A	Controls only	Whole Genome	78	78	fc-secure-1114cae3-387f-4277-8a1f-0b912487b224	78	0	0	0	1867497842340	TRUE
AnVIL_CMG_Broad_Muscle_Myoseq_WES	CMG	CMG	Unspecified	Unspecified	phs001272	NA	Unspecified	NA	NA	Exome	1281	1280	fc-secure-111d9846-e5b6-428f-bfcb-b6cf57a6ae8c	1280	0	1280	1280	2303041557869	TRUE
AnVIL_CCDG_Broad_CVD_AF_Marcus_UCSF_Arrays	CCDG	CCDG	Unspecified	RegistrationPending	phs001933	NA	Unspecified	NA	Case-Control	Genotyping Array	156	0	fc-secure-11d754f1-021f-409b-961c-3fdf2787ac88	156	156	0	0	25462866401	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_Marsh_GRU_WES	CCDG	CCDG	Unspecified		Unspecified	NA	Unspecified	NA	NA	Exome	341	0	fc-secure-124c02b9-69b7-468c-b3d7-4a07aee74dc5	341	341	0	0	391050405068	TRUE
anvil_ccdg_broad_ai_ibd_alm_gmc_wes	CCDG	CCDG	Unspecified	phs000000	phs001642	GRU	Unspecified	inflammatory bowel disease	Case/Control	Exome	915	0	fc-secure-1355eb72-b00f-4796-8892-ac271b699503	915	915	0	0	990444400622	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_BELULB_DS-EP-NPU_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	415	0	fc-secure-13597242-de35-44e2-b8fb-b5fa0b983501	415	415	0	0	661487652244	TRUE
AnVIL_CCDG_Broad_CVD_AF_Natale_TCAI_Arrays	CCDG	CCDG	Unspecified	RegistrationPending	registration pending	NA	Unspecified	NA	Case-Control	Genotyping Array	1164	0	fc-secure-15292bc6-dae5-4f6b-8980-319c282cec12	1164	1164	0	0	199683502031	FALSE
AnVIL_CMG_UWASH_HMB	CMG	CMG	Unspecified	phs000693	phs000693	HMB	Unspecified	mendelian disorders	Family/Twins/Trios	Exome	406	406	fc-secure-15d6cee3-6253-4644-a0d8-07cc0f19d50b	419	0	228	0	7391283572148	TRUE
anvil_ccdg_broad_ai_ibd_daly_vermeire_wes	CCDG	CCDG	Unspecified	Unspecified	phs001642	NA	Unspecified	NA	NA	Exome	3985	0	fc-secure-1614d6d2-d053-4de0-9b97-cc4b0762f547	4719	4719	0	0	4636915019818	TRUE
anvil_ccdg_broad_ai_ibd_daly_newberry_share_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	NA	NA	Genotyping Array	869	0	fc-secure-1690a118-f1d2-43e3-a7a2-9042a477bf4d	869	869	0	0	149544448079	FALSE
AnVIL_CMG_Broad_Heart_Ware_WES	CMG	CMG		Unspecified	phs001272	NA	Unspecified	mendelian disorders	NA	Exome	11	10	fc-secure-16d26258-a516-4b26-b5d1-f17d785fbc70	10	0	10	10	18169458410	TRUE
AnVIL_ccdg_asc_ndd_daly_talkowski_lattig_asd_exome	CCDG	CCDG	Unspecified	Unspecified	phs000298	NA	Unspecified	NA	NA	Exome	487	0	fc-secure-16e0c63c-847a-42ef-91ca-3523b3668357	487	487	0	0	437492803565	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_FINUVH_HMB-NPU-MDS_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Genotyping Array	105	0	fc-secure-17bb1d9d-6c0d-46b7-8bfc-5179f7a6583c	105	105	0	0	18882072008	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_TURBZU_GRU_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	89	0	fc-secure-17d8dbc9-d1d8-4d5d-8eb7-c1b82bef24d8	208	208	0	0	343177597304	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_AUSRMB_DS-EAED-MDS-NPU-IRB_WES	CCDG	CCDG	Unspecified	phsRegistrationPending	phs001489	NA	Unspecified	NA	NA	Exome	211	0	fc-18d7b17f-0ab3-4ab1-b730-61402c7ab4d0	211	211	0	0	183658125120	FALSE
AnVIL_CCDG_WashU_CVD_EOCAD_Harvard-Costa-Rica_WGS	CCDG	CCDG	Unspecified	Unspecified	phs002282	DS-CVDRF	Unspecified	cardiovascular disease and risk factors	Case/Control	Whole Genome	3088	3088	fc-secure-19ae92b3-86a1-4ec5-a8dc-f9d1ea226c4c	3088	0	0	0	44127883708337	TRUE
AnVIL_NIMH_CIRM_FCDI_ConvergentNeuro_McCarroll_Eggan_GRU_Arrays	Convergent Neuroscience	Convergent Neuroscience	Unspecified	phs002032	phs002032	GRU	Unspecified	CIRM iPSC Repository	Case/Control	Single Cell RNAseq, Pooled Genomic Seq	2166	0	fc-secure-19c8cbed-8f4e-4bde-bf60-bb3ed6e9efd4	0	0	0	0	10063861225	FALSE
anvil_ccdg_broad_ai_ibd_daly_franchimont_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	IBD	Case-Control	Genotyping Array	2826	0	fc-secure-1a21e646-3fba-44ea-b395-dc1a216e0fcc	2826	2824	0	0	481909938431	FALSE
AnVIL_CCDG_WashU_CVD_EOCAD_WashU-CAD_GRU-IRB_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001227	GRU-IRB	Unspecified	atherosclerosis	Case/Control	Whole Genome	326	265	fc-secure-1a841909-2e43-4c83-8b66-ba15aceecfee	265	0	0	0	4746764703330	TRUE
anvil_ccdg_broad_ai_ibd_daly_mcgovern_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	IBD	Case-Control	Genotyping Array	6088	0	fc-secure-1ae0ae96-af69-42d2-a018-892fe7c7b044	6088	6088	0	0	1037348445375	FALSE
AnVIL_CCDG_Broad_CVD_EOCAD_VIRGO_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001259	DS-Cardiology Genetics Research, MDS	Unspecified	cardiovascular system disease	NA	Whole Genome	2159	0	fc-secure-1b2f65a3-61f8-4ce1-93ad-65b690c1f043	2159	2158	0	0	37765793506813	TRUE
AnVIL_CCDG_Baylor_CVD_HemStroke_Yale_HMB_WGS	CCDG	CCDG	Unspecified	Unspecified	registration pending	HMB	Unspecified	Hemorrhagic Stroke	N/A	Whole Genome	185	0	fc-secure-1d07990d-3332-4233-ad22-18d701ae7ead	185	185	0	0	3145295970681	TRUE
AnVIL_eMERGE_HMB-GSO_Imputed_GWAS	eMERGE	Unspecified	Unspecified	phs001584	Unspecified	HMB-GSO	HMB-GSO		Case-control	Genotyping Array	11011	0	fc-secure-1d6a5f7c-5821-483d-9af4-f92957ef4e47	0	0	0	0	0	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_Penn_GRU_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	822	0	fc-secure-1dc0d17d-bc41-46e9-b53c-706f1b595918	822	822	0	0	143238378517	FALSE
AnVIL_CCDG_Broad_CVD_AFib_AFLMU_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001543	NA	Unspecified	atrial fibrillation	NA	Whole Genome	248	0	fc-secure-1e391fda-00d2-4dc9-94f2-845e59d57117	248	248	0	0	5373754505549	TRUE
AnVIL_CMG_Broad_Muscle_Beggs_WES	CMG	CMG		Unspecified	phs001272	NA	Unspecified	NA	NA	Exome	274	109	fc-secure-1e74f991-d0bb-4b99-b3fc-aad5cf94069c	439	439	222	109	396196496628	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_DEUULG_GRU_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Genotyping Array	105	0	fc-secure-1f46c610-02c0-41a4-9610-e8fc8465a754	105	105	0	0	18864220613	FALSE
AnVIL_CCDG_Broad_CVD_AFib_GENAF_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001547	HMB, NPU	Unspecified	atrial fibrillation	NA	Whole Genome	90	0	fc-secure-1fb85b31-9a1e-46ef-a206-41040d151f94	90	90	0	0	1874956818822	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_DEUUPM_HMB_MDS_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	112	0	fc-secure-1fc9933f-3f2f-441e-97f2-c0b2a6081d3d	112	112	0	0	877465719	TRUE
AnVIL_CCDG_WashU_CVD_EOCAD_METSIM_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001579	GRU-IRB-NPU	Unspecified	coronary artery disease	Case/Control	Whole Genome	9477	9477	fc-secure-2011b97c-a9c9-4a13-8911-f3833be31253	9477	0	0	0	134171936053420	TRUE
AnVIL_CCDG_NYGC_NP_Autism_HFA_DS_WGS	CCDG	CCDG	Unspecified	Unspecified	phs002044	DS-ASD-IRB	Unspecified	autism spectrum disorder	Family, Parent-Offspring	Whole Genome	509	0	fc-secure-203efee5-de46-4cb1-9374-3c5be56e5a5e	509	509	0	0	10170751804843	TRUE
AnVIL_CMG_Broad_Blood_Sankaran_WGS	CMG	CMG	Unspecified	RegistrationPending	phs001272	NA	Unspecified	NA	NA	Whole Genome	96	0	fc-secure-2069fdfd-aef5-4321-a69f-94bdff6396d8	96	96	0	0	1609882645515	TRUE
AnVIL_CCDG_Broad_CVD_AFib_JHU_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001598	NA	Unspecified	atrial fibrillation	NA	Whole Genome	290	0	fc-secure-2085a664-58a9-404c-ae57-210fb19806fb	290	290	0	0	5449749814770	TRUE
AnVIL_CCDG_Broad_CVD_AFib_MPP_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001544	HMB, NPU, MDS	Unspecified	atrial fibrillation	NA	Whole Genome	118	0	fc-secure-20d7c83f-35a7-4b7e-9a1b-c40bfdff29b2	118	118	0	0	2545100871677	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_GBRSWU_CARDI_NEURO_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	307	0	fc-secure-20f0ccf9-097d-423e-a1f1-5f8f4ee4882b	307	307	0	0	55246322775	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_CHOP_GRU_NPU_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	47	0	fc-secure-211258f3-695b-4ad0-8e21-d849644570b4	47	41	0	0	11388923395	FALSE
AnVIL_CCDG_WashU_CVD_EOCAD_Finland-CHD_WGS	CCDG	CCDG	Unspecified	Unspecified	registration pending	GRU-IRB-NPU	Unspecified	coronary artery disease	case study	Whole Genome	155	155	fc-secure-215c5ec0-940a-4808-9353-667f3a3af3c3	155	0	0	0	3090023367610	TRUE
AnVIL_ccdg_asc_ndd_daly_talkowski_puura_asd_exome	CCDG	CCDG	Unspecified	Unspecified	phs000298	NA	Unspecified	NA	NA	Exome	209	0	fc-secure-2180b508-ce9d-4535-aa9f-f07d5917025c	209	209	0	0	329072568821	TRUE
AnVIL_CCDG_NYGC_NP_Alz_LOAD_WGS	CCDG	CCDG	Unspecified	phs000160	Unspecified	GRU-IRB-PUB	Unspecified	Alzheimer's disease	Family, Control set		1049	1049	fc-secure-21c6905e-06c8-45f2-b6ed-ffba467f7f75	1049	0	0	0	24490570736307	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_GBRSWU_CARDI_NEURO_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	305	0	fc-secure-21cd882f-8470-4c2e-93dc-536a908bae73	305	305	0	0	384036957430	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_FRALYU_HMB_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	804	0	fc-secure-221b863c-a724-42f3-9f90-2081b352799c	1030	1030	0	0	1133570329958	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_USAMON_HMB_NPU_MDS_GSA-MD	CCDG	CCDG	Unspecified	RegistrationPending	phs001489	NA	Unspecified	Epilepsy	Case-Control	Genotyping Array	4	0	fc-secure-2234e065-752e-4f70-bc36-9a64753c6409	4	4	0	0	1555805672	FALSE
AnVIL_CCDG_NYGC_NP_Autism_SSC_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001676	DS-ASD-IRB-COL	Unspecified	autism spectrum disorder	Family	Whole Genome	9201	9201	fc-secure-22693da1-7a53-4115-9b93-98856c7c1ca8	9201	0	0	0	226642323853375	TRUE
anvil_ccdg_broad_ai_ibd_daly_faubion_share_wes	CCDG	CCDG	Unspecified	Unspecified	phs001642	NA	Unspecified	NA	NA	Exome	904	0	fc-secure-228fd6fd-e0f7-4895-a246-3b055be27aa1	890	890	0	0	790735554869	TRUE
anvil_ccdg_broad_ai_ibd_daly_faubion_share_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	NA	NA	Genotyping Array	906	0	fc-secure-22b8722b-d3d2-4932-a508-a2fe53507815	906	905	0	0	155510250719	FALSE
AnVIL_eMERGE_CCHMC_GRU-IRB-NPU_WES	eMERGE	Unspecified	Unspecified	phs001011	Unspecified	GRU-IRB-NPU	GRU-IRB-NPU		Case-control	Whole Exome	206	0	fc-secure-233a84bc-b4f0-41fd-b187-cec19eb404e5	0	0	0	0	0	FALSE
anvil_ccdg_broad_ai_ibd_daly_pekow_share_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	NA	NA	Genotyping Array	706	0	fc-secure-235d1810-a62f-4c1a-937a-07760b233d84	706	706	0	0	121655900382	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_CHEUBB_HMB_IRB_MDS_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	7	0	fc-secure-240e1629-6d73-42ab-a373-1abeec17824c	47	47	0	0	43875364555	TRUE
anvil_ccdg_broad_ai_ibd_daly_vermeire_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	NA	NA	Genotyping Array	4851	0	fc-secure-2423f9d0-f5e1-485e-96a4-6b3e423c87a3	4851	4850	0	0	827079261508	FALSE
AnVIL_CCDG_WashU_CVD_Kanazawa_WGS	CCDG	CCDG	Unspecified	Unspecified	registration pending	HMB-NPU	Unspecified	cardiovascular disease	Case/Control	Whole Genome	273	273	fc-secure-2513a28a-aff0-422a-b650-9c05fa6800c3	273	0	0	0	3050884949455	TRUE
anvil_ccdg_broad_ai_ibd_daly_sands_msccr_gsa	CCDG	CCDG	Unspecified	RegistrationPending	phs001642	NA	Unspecified	IBD	Case-Control	Genotyping Array	1464	0	fc-secure-25dae37d-3cd1-4c52-82ff-997d60f93d17	1464	1464	0	0	251029432955	FALSE
AnVIL_CCDG_WashU_CVD_EOCAD_Penn_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001502	HMB-IRB-PUB	Unspecified	coronary artery disease	Case/Control	Whole Genome	1356	1356	fc-secure-25f8efc0-42fc-48d5-9a39-53c131c4d6ef	1356	0	0	0	27005687159132	TRUE
AnVIL_GTEx_Somatic_WGS	GTEx	GTEx	Unspecified	phs000424	Unspecified	NA	Unspecified	NA	Cross-sectional	Whole Genome	40	0	fc-secure-26649e9f-d67d-4ba1-9332-afb14dadfa0b	40	12	0	0	1762399601829	FALSE
AnVIL_CCDG_Broad_CVD_AF_EAST_WES	CCDG	CCDG	Unspecified	RegistrationPending	registration pending	NA	Unspecified	NA	NA	Exome	1565	1565	fc-282a8e0b-df88-42de-9059-2b7447d9f9c7	1565	1565	0	0	1354369566202	FALSE
