Consortium	name	library:numSubjects	library:dataCategory.itemsType	library:dataCategory.items	library:datatype.itemsType	library:datatype.items	library:dataUseRestriction	library:indication	study_accession	library:datasetName	library:datasetVersion	library:datasetDescription	library:datasetOwner	library:datasetCustodian	library:datasetDepositor	library:contactEmail	library:institute.itemsType	library:institute.items	library:primaryDiseaseSite	library:primaryDiseaseSite	library:reference	library:dataFileFormats.itemsType	library:dataFileFormats.items	library:technology.itemsType	library:technology.items	library:studyDesign	library:ethnicity.itemsType	library:ethnicity.items	library:cohortCountry	library:requiresExternalApproval	library:lmsvn	library:dulvn	library:discoverableByGroups.itemsType	library:discoverableByGroups.items	tag:tags.itemsType	tag:tags.items	library:DS	library:HMB	library:NMDS	library:NCU	library:NPU	library:NCTRL	library:GRU	library:RS-PD	library:IRB	library:RS-G	library:NAGR	library:DS_URL.itemsType	library:DS_URL.items	library:DS.itemsType	library:orsp	library:dataAccessInstructions	referenceData_hg38_known_indels_sites_VCFs.itemsType	referenceData_hg38_known_indels_sites_VCFs.items	referenceData_hg38_ref_fasta	referenceData_hg38_ref_alt	referenceData_hg38_ref_amb	referenceData_hg38_axiomPoly_resource_vcf_index	referenceData_hg38_ref_fasta_index	referenceData_hg38_mills_resource_vcf	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf	referenceData_hg38_dbsnp_vcf_index	referenceData_hg38_known_indels_sites_indices.itemsType	referenceData_hg38_known_indels_sites_indices.items	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf_index	referenceData_hg38_call_interval_list	referenceData_hg38_ref_dict	referenceData_hg38_dbsnp_vcf	referenceData_hg38_mills_resource_vcf_index	referenceData_hg38_ref_sa	referenceData_hg38_hapmap_resource_vcf_index	referenceData_hg38_hapmap_resource_vcf	referenceData_hg38_omni_resource_vcf_index	referenceData_hg38_axiomPoly_resource_vcf	referenceData_hg38_eval_interval_list	referenceData_hg38_omni_resource_vcf	referenceData_hg38_scattered_calling_intervals_list	referenceData_hg38_unpadded_intervals_file	referenceData_hg38_ref_pac	referenceData_hg38_ref_bwt	referenceData_hg38_ref_ann	diseaseOntologyLabel	indication	reference	datasetCustodian	datasetVersion	projectName	datasetDescription	dulvn	useLimitationOption	NPU	RS-PD	dataUseRestriction	numSubjects	datasetOwner	tags	published	datasetName	technology	discoverableByGroups	NCU	RS-G	IRB	requiresExternalApproval	studyDesign	NAGR	contactEmail	datasetDepositor	datatype	dataCategory	NMDS	NCTRL	GRU	HMB	diseaseOntologyID	dataFileFormats	genome_fasta_index	sample_attributes	subject_phenotypes	transcripts_gtf	genome_fasta_dict	genes_gtf	vcf_index	genome_fasta	vcf_file	lmsvn	rnaseq_genome_fasta_index	rnaseq_genome_fasta	rnaseq_genome_fasta_dict
CCDG	AnVIL_CCDG_NYGC_NP_Autism_CAG_DS_WGS	734	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD	autism spectrum disorder	phs002004	CAG	1	A Study of the Genetic Causes of Complex Pediatric Disorders took place at The Center for Applied Genomics (CAG) at the Children's Hospital of Philadelphia (CHOP). A large majority of participants consenting to prospective genomic analyses also consent to analysis of their de-identified electronic medical records (EMRs). EMRs are longitudinal, with a mean duration of 6.5 years. CAG has committed to releasing genotype and phenotype data for 4000 individuals diagnosed with asthma, ADHD, atopic dermatitis, GERD (1000 for each), and 1000 individuals on the upper and lower ranges of Low-Density Lipoprotein (LDL) levels to dbGaP. We will also release genotype/phenotype of 3000 controls. dbGaP study ID: phs002004	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family	AttributeValue	Hispanic', 'Non-Hispanic', 'NULL	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_GASD_GRU_WGS	392	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU	autism spectrum disorder	registration pending	GASD	1	Genomics of A dbutism Spectrum Disorder (GASD) dbGaP study registration pending	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	N/A	AttributeValue	Unknown	Italy	FALSE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_HFA_DS_WGS	509	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB	autism spectrum disorder	phs002044	CATS	1	Victorian Collaborative AuTism Study (CATS): Family and Community Study of the Genetics of Autism Spectrum Disorder is an ongoing recruitment study run by University of Melbourne. dbGaP study ID: phs002044	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family, Parent-Offspring	AttributeValue	Unknown	AUnited Statestralia	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_PELPHREY_ACE_DS_WGS	47	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD	autism spectrum disorder	phs002043	PELPHREY_ACE	1	Multimodal Developmental Neurogenetics of Females with ASD is a study to assess the observation that ASD disproportionately affects males relative to females. Although many hypotheses attempt to explain this bias, no clear answers have emerged because of inconsistent and incomplete phenotyping and small sample sizes. This study aims to analze sex specific differences by deep phenotyping and genotyping of ASD participants. The samples consist of a sex-balanced cohort of ASD (N=125) and matched typically developing (TD) comparison participants (N=125), as well as a set of unaffected siblings. dbGaP study ID phs002043	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Parent-Offspring Trios, Parent-Offspring Quads	AttributeValue	Not Hispanic or Latino	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_PELPHREY_ACE_GRU_WGS	197	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU	autism spectrum disorder	phs002043	PELPHREY_ACE	1	Multimodal Developmental Neurogenetics of Females with ASD is a study to assess the observation that ASD disproportionately affects males relative to females. Although many hypotheses attempt to explain this bias, no clear answers have emerged because of inconsistent and incomplete phenotyping and small sample sizes. This study aims to analze sex specific differences by deep phenotyping and genotyping of ASD participants. The samples consist of a sex-balanced cohort of ASD (N=125) and matched typically developing (TD) comparison participants (N=125), as well as a set of unaffected siblings. dbGaP study ID phs002043	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Parent-Offspring Trios, Parent-Offspring Quads	AttributeValue	Hispanic or Latino', 'Not Hispanic or Latino	United States	FALSE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_SPARK_GRU_WGS	12,590	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU-IRB-PUB	autism spectrum disorder	registration pending	SPARK	1	Simons Foundation Powering Autism Research for Knowledge (SPARK) is a research project to provide researchers with medical and genetic information from tens of thousands of individuals and families affected by autism. More than 30 of the nation???s leading medical schools and autism research centers from the United Sates have joined SPARK to help recruit individuals and families affected by autism. dbGaP study registration pending	Tom Maniatis	Simons Foundation	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family	AttributeValue	Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_SEARCHLIGHT_DS_WGS	389	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB	autism spectrum disorder	registration pending	Searchlight	1	Simons Searchlight is an initiative of the Simons Foundation Autism Research Initiative (SFARI) that aims to better understand genetic neurodevelopmental conditions, specifically those associated with autism spectrum disorder (ASD). Simons Searchlight collects family, medical, developmental and behavioral information through online surveys and phone interviews with families and individuals. Biospecimen collection is performed either remotely or at in-person family meetings. dbGaP study registration pending	Tom Maniatis	Simons Foundation	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family	AttributeValue	Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_TASC_WGS	905	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB	autism spectrum disorder	phs001741	TASC	1	In a unique public-private partnership, 13 sites with extensive experience in both the assessment and diagnosis of ASD embarked on an ambitious, 2-year program to collect samples for genetic and phenotypic research and begin analyses on these samples. The program was called The Autism Simplex Collection (TASC). TASC sample collection began in 2008 and was completed in 2010, and included nine sites from North America and four sites from Western Europe, as well as a centralized Data Coordinating Center. dbGaP study ID: phs001741	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Prospective Longitudinal Cohort	AttributeValue	Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_WashU_AI_T1D_T1DGC_WGS	3397	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-DRC-IRB-NPU	type 1 diabetes mellitus	phs001222	T1DGC	1	The Type 1 Diabetes Genetics Consortium (T1DGC) was established to collect resources (biological samples and data) and conduct research to better understand the genetic basis of type 1 diabetes (T1D). For the NHGRI-funded Centers for Common Disease Genomics (CCDG) project, participants with T1D and ancestry-matched controls were identified through the T1DGC, either through direct ascertainment or by contribution from other sources to the T1DGC. As the CCDG has focused initially on non-Caucasian populations for whole genome sequencing, T1DGC participants of African, Mexican and Asian ancestry (targeting ~1200 cases and ~1200 controls in each ancestral group) and a small group of participants of Northern European ancestry (~100 cases, ~100 controls) were to be contributed to the study. Whole genome sequencing of T1DGC samples would be conducted at Washington University McDonnell Genome Institute and based upon matching case-control status within an ancestry group and prioritization by the CCDG. dbGaP study ID: phs001222	Nathan Stitziel	NHGRI	Niel Das, Joanne Nelson	help@lists.anvilproject.org	AttributeValue	McDonnell Genome Institute at Washington University	endocrine pancreas	CCDG IA	GRCh38/hg38	AttributeValue	CRAM, VCF	AttributeValue	Illumina	N/A	AttributeValue	N/A	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_WashU_CVD_EOCAD_BioImage_WGS	922	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-CVD	heart and blood vessel disease	registration pending	BioImage	1	Center for Common Disease Genomics (CCDG) - Cardiovascular: BioImage Cohort dbGaP registration pending	Nathan Stitziel	NHGRI	Niel Das, Joanne Nelson	help@lists.anvilproject.org	AttributeValue	McDonnell Genome Institute at Washington University	heart	CCDG CVD	GRCh38/hg38	AttributeValue	CRAM, VCF	AttributeValue	Illumina	Case/Control	AttributeValue	African-American	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_WashU_CVD_EOCAD_BioMe_WGS	648	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU	coronary artery disease	phs001155	BioMe	1	Cardiovascular disease is the leading cause of death in the world, affecting individuals of all ethnicities and nations. Cardiovascular disease and associated metabolic risk factors are heritable, yet the majority of inherited disease risk remains unexplained despite successful mapping of numerous loci through genome-wide association studies. Population genetics and previous candidate gene re-sequencing studies have supported the hypothesis that rare variants likely substantially contribute to both human disease and quantitative traits. This study contains whole genome sequence from over 300 African American participants in the BioMe cohort. dbGaP study ID: phs001155	Nathan Stitziel	NHGRI	Niel Das, Joanne Nelson	help@lists.anvilproject.org	AttributeValue	McDonnell Genome Institute at Washington University	heart	CCDG CVD	GRCh38/hg38	AttributeValue	CRAM, VCF	AttributeValue	Illumina	Case/Control	AttributeValue	African-American	United States	FALSE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE																																																																																		
