PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35707062","Lessons learned and recommendations for data coordination in collaborative research: The CSER consortium experience","Muenzen KD, Amendola LM, Kauffman TL, Mittendorf KF, Bensen JT, Chen F, Green R, Powell BC, Kvale M, Angelo F, Farnan L, Fullerton SM, Robinson JO, Li T, Murali P, Lawlor JMJ, Ou J, Hindorff LA, Jarvik GP, Crosslin DR.","HGG Adv. 2022 May 20;3(3):100120. doi: 10.1016/j.xhgg.2022.100120. eCollection 2022 Jul 14.","Muenzen KD","HGG Adv","2022","2022/06/16","PMC9190054","","10.1016/j.xhgg.2022.100120"
"35689290","Literacy-adapted, electronic family history assessment for genetics referral in primary care: patient user insights from qualitative interviews","Mittendorf KF, Lewis HS, Duenas DM, Eubanks DJ, Gilmore MJ, Goddard KAB, Joseph G, Kauffman TL, Kraft SA, Lindberg NM, Reyes AA, Shuster E, Syngal S, Ukaegbu C, Zepp JM, Wilfond BS, Porter KM.","Hered Cancer Clin Pract. 2022 Jun 10;20(1):22. doi: 10.1186/s13053-022-00231-3.","Mittendorf KF","Hered Cancer Clin Pract","2022","2022/06/10","PMC9188215","","10.1186/s13053-022-00231-3"
"35679147","Risk-reducing surgery in unaffected individuals receiving cancer genetic testing in an integrated health care system","Knerr S, Guo B, Mittendorf KF, Feigelson HS, Gilmore MJ, Jarvik GP, Kauffman TL, Keast E, Lynch FL, Muessig KR, Okuyama S, Veenstra DL, Zepp JM, Goddard KAB, Devine B.","Cancer. 2022 Aug 15;128(16):3090-3098. doi: 10.1002/cncr.34349. Epub 2022 Jun 9.","Knerr S","Cancer","2022","2022/06/09","PMC9308746","NIHMS1811872","10.1002/cncr.34349"
"35669190","""Let's Just Wait Until She's Born"": Temporal Factors That Shape Decision-Making for Prenatal Genomic Sequencing Amongst Families Underrepresented in Genomic Research","Brown JEH, Zamora AN, Outram S, Sparks TN, Lianoglou BR, Norstad M, Sahin Hodoglugil NN, Norton ME, Ackerman SL.","Front Genet. 2022 May 20;13:882703. doi: 10.3389/fgene.2022.882703. eCollection 2022.","Brown JEH","Front Genet","2022","2022/06/07","PMC9164104","","10.3389/fgene.2022.882703"
"35491967","Further description of two patients with biallelic variants in NADSYN1 in association with cardiac and vertebral anomalies","Kortbawi H, Ames E, Pritchard A, Devine P, van Ziffle J, Slavotinek A.","Am J Med Genet A. 2022 Aug;188(8):2479-2484. doi: 10.1002/ajmg.a.62765. Epub 2022 May 2.","Kortbawi H","Am J Med Genet A","2022","2022/05/02","","","10.1002/ajmg.a.62765"
"35487348","A Validation Framework for Somatic Copy Number Detection in Targeted Sequencing Panels","Chandramohan R, Reuther J, Gandhi I, Voicu H, Alvarez KR, Plon SE, Lopez-Terrada DH, Fisher KE, Parsons DW, Roy A.","J Mol Diagn. 2022 Jul;24(7):760-774. doi: 10.1016/j.jmoldx.2022.03.011. Epub 2022 Apr 26.","Chandramohan R","J Mol Diagn","2022","2022/04/29","PMC9302205","","10.1016/j.jmoldx.2022.03.011"
"35455673","Analyzing Precision Medicine Utilization with Real-World Data: A Scoping Review","Douglas MP, Kumar A.","J Pers Med. 2022 Apr 1;12(4):557. doi: 10.3390/jpm12040557.","Douglas MP","J Pers Med","2022","2022/04/23","PMC9025578","","10.3390/jpm12040557"
"35436948","Identifying patients with Lynch syndrome using a universal tumor screening program in an integrated healthcare system","Crain PR, Zepp JM, Gille S, Jenkins L, Kauffman TL, Shuster E, Goddard KAB, Wilfond BS, Hunter JE.","Hered Cancer Clin Pract. 2022 Apr 18;20(1):17. doi: 10.1186/s13053-022-00217-1.","Crain PR","Hered Cancer Clin Pract","2022","2022/04/19","PMC9014602","","10.1186/s13053-022-00217-1"
"35398350","Expanding the phenotype of males with OFD1 pathogenic variants-a case report and literature review","Gangaram B, Devine WP, Slavotinek A.","Eur J Med Genet. 2022 Jun;65(6):104496. doi: 10.1016/j.ejmg.2022.104496. Epub 2022 Apr 6.","Gangaram B","Eur J Med Genet","2022","2022/04/10","","","10.1016/j.ejmg.2022.104496"
"35396980","Perspectives and preferences regarding genomic secondary findings in underrepresented prenatal and pediatric populations: A mixed-methods approach","Rego S, Hoban H, Outram S, Zamora AN, Chen F, Sahin-Hodoglugil N, Anguiano B, Norstad M, Yip T, Lianoglou B, Sparks TN, Norton ME, Koenig BA, Slavotinek AM, Ackerman SL.","Genet Med. 2022 Jun;24(6):1206-1216. doi: 10.1016/j.gim.2022.02.004. Epub 2022 Apr 8.","Rego S","Genet Med","2022","2022/04/09","PMC9536515","NIHMS1838027","10.1016/j.gim.2022.02.004"
"35384843","Prevalence and prediction of medical distrust in a diverse medical genomic research sample","Angelo F, Veenstra D, Knerr S, Devine B.","Genet Med. 2022 Jul;24(7):1459-1467. doi: 10.1016/j.gim.2022.03.007. Epub 2022 Apr 6.","Angelo F","Genet Med","2022","2022/04/06","","","10.1016/j.gim.2022.03.007"
"35357580","Predicting genes from phenotypes using human phenotype ontology (HPO) terms","Slavotinek A, Prasad H, Yip T, Rego S, Hoban H, Kvale M.","Hum Genet. 2022 Nov;141(11):1749-1760. doi: 10.1007/s00439-022-02449-6. Epub 2022 Mar 31.","Slavotinek A","Hum Genet","2022","2022/03/31","","","10.1007/s00439-022-02449-6"
"35305866","Laboratory-related outcomes from integrating an accessible delivery model for hereditary cancer risk assessment and genetic testing in populations with barriers to access","Amendola LM, Shuster E, Leo MC, Dorschner MO, Rolf BA, Shirts BH, Gilmore MJ, Okuyama S, Zepp JM, Kauffman TL, Mittendorf KF, Bellcross C, Jenkins CL, Joseph G, Riddle L, Syngal S, Ukaegbu C, Goddard KAB, Wilfond BS, Jarvik GP; CHARM Study.","Genet Med. 2022 Jun;24(6):1196-1205. doi: 10.1016/j.gim.2022.02.006. Epub 2022 Mar 16.","Amendola LM","Genet Med","2022","2022/03/20","","","10.1016/j.gim.2022.02.006"
"35254936","Multicancer Screening Tests: Anticipating And Addressing Considerations For Payer Coverage And Patient Access","Deverka PA, Douglas MP, Phillips KA.","Health Aff (Millwood). 2022 Mar;41(3):383-389. doi: 10.1377/hlthaff.2021.01316.","Deverka PA","Health Aff (Millwood)","2022","2022/03/07","PMC8962120","NIHMS1786933","10.1377/hlthaff.2021.01316"
"35227608","Integration of stakeholder engagement from development to dissemination in genomic medicine research: Approaches and outcomes from the CSER Consortium","O'Daniel JM, Ackerman S, Desrosiers LR, Rego S, Knight SJ, Mollison L, Byfield G, Anderson KP, Danila MI, Horowitz CR, Joseph G, Lamoure G, Lindberg NM, McMullen CK, Mittendorf KF, Ramos MA, Robinson M, Sillari C, Madden EB; CSER Stakeholder and Engagement Work Group.","Genet Med. 2022 May;24(5):1108-1119. doi: 10.1016/j.gim.2022.01.008. Epub 2022 Feb 25.","O'Daniel JM","Genet Med","2022","2022/03/01","PMC9081226","NIHMS1794764","10.1016/j.gim.2022.01.008"
"35171038","Development and evaluation of an exome sequencing training course for medical interpreters","Riddle L, Karliner LS, Livaudais-Toman J, Guerra C, Roat CE, Rope AF, Wade A, Caruncho M, Zepp JM, Giang J, Wilfond BS, Joseph G.","Per Med. 2022 Mar;19(2):125-138. doi: 10.2217/pme-2021-0091. Epub 2022 Feb 16.","Riddle L","Per Med","2022","2022/02/16","","","10.2217/pme-2021-0091"
"35144679","Retrospective assessment of barriers and access to genetic services for hereditary cancer syndromes in an integrated health care delivery system","Muessig KR, Zepp JM, Keast E, Shuster EE, Reyes AA, Arnold B, Ingphakorn C, Gilmore MJ, Kauffman TL, Hunter JE, Knerr S, Feigelson HS, Goddard KAB.","Hered Cancer Clin Pract. 2022 Feb 10;20(1):7. doi: 10.1186/s13053-022-00213-5.","Muessig KR","Hered Cancer Clin Pract","2022","2022/02/11","PMC8832647","","10.1186/s13053-022-00213-5"
"35106791","Disparities in the acceptance of chromosomal microarray at the time of prenatal genetic diagnosis","Swanson K, Loeliger KB, Chetty SP, Sparks TN, Norton ME.","Prenat Diagn. 2022 May;42(5):611-616. doi: 10.1002/pd.6109. Epub 2022 Feb 8.","Swanson K","Prenat Diagn","2022","2022/02/02","PMC9116240","NIHMS1802458","10.1002/pd.6109"
"35034852","Testing and extending strategies for identifying genetic disease-related encounters in pediatric patients","Spees LP, Hicklin K, Adams MC, Farnan L, Bensen JT, Gilleskie DB, Berg JS, Powell BC, Lich KH.","Genet Med. 2022 Apr;24(4):831-838. doi: 10.1016/j.gim.2021.12.001. Epub 2022 Jan 13.","Spees LP","Genet Med","2022","2022/01/17","PMC8995346","NIHMS1773036","10.1016/j.gim.2021.12.001"
"35026696","Distinct somatic DICER1 hotspot mutations in three metachronous ovarian Sertoli-Leydig cell tumors in a patient with DICER1 syndrome","Garcia A, Desrosiers L, Scollon S, Gruner S, Reuther J, Gandhi I, Patil N, Fuller MY, Dai H, Muzny D, Gibbs RA, Bercaw-Pratt JL, Rao SL, Rainusso N, Fisher KE, Lin FY, Plon SE, Parsons DW, Roy A.","Cancer Genet. 2022 Apr;262-263:53-56. doi: 10.1016/j.cancergen.2022.01.001. Epub 2022 Jan 5.","Garcia A","Cancer Genet","2022","2022/01/13","PMC8920771","NIHMS1771102","10.1016/j.cancergen.2022.01.001"
"34942405","Prenatal presentation of multiple anomalies associated with haploinsufficiency for ARID1A","Slavotinek A, Lefebvre M, Brehin AC, Thauvin C, Patrier S, Sparks TN, Norton M, Yu J, Huang E.","Eur J Med Genet. 2022 Feb;65(2):104407. doi: 10.1016/j.ejmg.2021.104407. Epub 2021 Dec 20.","Slavotinek A","Eur J Med Genet","2022","2021/12/23","PMC9162882","NIHMS1802465","10.1016/j.ejmg.2021.104407"
"34930662","Genome sequencing as a first-line diagnostic test for hospitalized infants","Bowling KM, Thompson ML, Finnila CR, Hiatt SM, Latner DR, Amaral MD, Lawlor JMJ, East KM, Cochran ME, Greve V, Kelley WV, Gray DE, Felker SA, Meddaugh H, Cannon A, Luedecke A, Jackson KE, Hendon LG, Janani HM, Johnston M, Merin LA, Deans SL, Tuura C, Williams H, Laborde K, Neu MB, Patrick-Esteve J, Hurst ACE, Kandasamy J, Carlo W, Brothers KB, Kirmse BM, Savich R, Superneau D, Spedale SB, Knight SJ, Barsh GS, Korf BR, Cooper GM.","Genet Med. 2022 Apr;24(4):851-861. doi: 10.1016/j.gim.2021.11.020. Epub 2021 Nov 27.","Bowling KM","Genet Med","2022","2021/12/21","PMC8995345","NIHMS1772956","10.1016/j.gim.2021.11.020"
"34906477","The difficulties of broad data sharing in genomic medicine: Empirical evidence from diverse participants in prenatal and pediatric clinical genomics research","Norstad M, Outram S, Brown JEH, Zamora AN, Koenig BA, Risch N, Norton ME, Slavotinek A, Ackerman SL.","Genet Med. 2022 Feb;24(2):410-418. doi: 10.1016/j.gim.2021.09.021. Epub 2021 Nov 30.","Norstad M","Genet Med","2022","2021/12/15","","","10.1016/j.gim.2021.09.021"
"34906471","Motivations and concerns of patients considering participation in an implementation study of a hereditary cancer risk assessment program in diverse primary care settings","Duenas DM, Shipman KJ, Porter KM, Shuster E, Guerra C, Reyes A, Kauffman TL, Hunter JE, Goddard KAB, Wilfond BS, Kraft SA.","Genet Med. 2022 Mar;24(3):610-621. doi: 10.1016/j.gim.2021.11.017. Epub 2021 Nov 23.","Duenas DM","Genet Med","2022","2021/12/15","PMC8939763","NIHMS1781705","10.1016/j.gim.2021.11.017"
"34906461","US private payers' perspectives on insurance coverage for genome sequencing versus exome sequencing: A study by the Clinical Sequencing Evidence-Generating Research Consortium (CSER)","Phillips KA, Trosman JR, Douglas MP, Gelb BD, Ferket BS, Hindorff LA, Slavotinek AM, Berg JS, Russell HV, Devine B, Greve V, Smith HS.","Genet Med. 2022 Jan;24(1):238-244. doi: 10.1016/j.gim.2021.08.009. Epub 2021 Nov 30.","Phillips KA","Genet Med","2022","2021/12/15","PMC8962136","NIHMS1786027","10.1016/j.gim.2021.08.009"
"34906458","The ACMG SF v3.0 gene list increases returnable variant detection by 22% when compared with v2.0 in the ClinSeq cohort","Johnston JJ, Brennan ML, Radenbaugh B, Yoo SJ, Hernandez SM; NHGRI Reverse Phenotyping Core; Lewis KL, Katz AE, Manolio TA, Biesecker LG.","Genet Med. 2022 Mar;24(3):736-743. doi: 10.1016/j.gim.2021.11.012. Epub 2021 Nov 18.","Johnston JJ","Genet Med","2022","2021/12/15","PMC10120277","NIHMS1891374","10.1016/j.gim.2021.11.012"
"34888063","Examining access to care in clinical genomic research and medicine: Experiences from the CSER Consortium","Gutierrez AM, Robinson JO, Outram SM, Smith HS, Kraft SA, Donohue KE, Biesecker BB, Brothers KB, Chen F, Hailu B, Hindorff LA, Hoban H, Hsu RL, Knight SJ, Koenig BA, Lewis KL, Lich KH, O'Daniel JM, Okuyama S, Tomlinson GE, Waltz M, Wilfond BS, Ackerman SL, Majumder MA.","J Clin Transl Sci. 2021 Sep 14;5(1):e193. doi: 10.1017/cts.2021.855. eCollection 2021.","Gutierrez AM","J Clin Transl Sci","2021","2021/12/10","PMC8634302","","10.1017/cts.2021.855"
"34778694","Systemic Barriers to Risk-Reducing Interventions for Hereditary Cancer Syndromes: Implications for Health Care Inequities","Mittendorf KF, Knerr S, Kauffman TL, Lindberg NM, Anderson KP, Feigelson HS, Gilmore MJ, Hunter JE, Joseph G, Kraft SA, Zepp JM, Syngal S, Wilfond BS, Goddard KAB.","JCO Precis Oncol. 2021 Nov 3;5:PO.21.00233. doi: 10.1200/PO.21.00233. eCollection 2021.","Mittendorf KF","JCO Precis Oncol","2021","2021/11/15","PMC8585306","","10.1200/PO.21.00233"
"34743282","Hereditary cancer panel testing challenges and solutions for the latinx community: costs, access, and variants","Douglas MP, Lin GA, Trosman JR, Phillips KA.","J Community Genet. 2022 Feb;13(1):75-80. doi: 10.1007/s12687-021-00563-y. Epub 2021 Nov 6.","Douglas MP","J Community Genet","2022","2021/11/07","PMC8799811","","10.1007/s12687-021-00563-y"
"34687653","Conceptualization of utility in translational clinical genomics research","Smith HS, Brothers KB, Knight SJ, Ackerman SL, Rini C, Veenstra DL, McGuire AL, Wilfond BS, Malek J.","Am J Hum Genet. 2021 Nov 4;108(11):2027-2036. doi: 10.1016/j.ajhg.2021.08.013. Epub 2021 Oct 22.","Smith HS","Am J Hum Genet","2021","2021/10/23","PMC8595895","","10.1016/j.ajhg.2021.08.013"
"34658003","Perceived Utility of Genomic Sequencing: Qualitative Analysis and Synthesis of a Conceptual Model to Inform Patient-Centered Instrument Development","Smith HS, Morain SR, Robinson JO, Canfield I, Malek J, Rubanovich CK, Bloss CS, Ackerman SL, Biesecker B, Brothers KB, Goytia CN, Horowitz CR, Knight SJ, Koenig B, Kraft SA, Outram S, Rini C, Shipman KJ, Waltz M, Wilfond B, McGuire AL.","Patient. 2022 May;15(3):317-328. doi: 10.1007/s40271-021-00558-4. Epub 2021 Oct 18.","Smith HS","Patient","2022","2021/10/18","PMC9013723","NIHMS1758693","10.1007/s40271-021-00558-4"
"34651095","Durable Response to Larotrectinib in a Child With Histologic Diagnosis of Recurrent Disseminated Ependymoma Discovered to Harbor an NTRK2 Fusion: The Impact of Integrated Genomic Profiling","Mangum R, Reuther J, Bertrand KC, Chandramohan R, Kukreja MK, Paulino AC, Muzny D, Hu J, Gibbs RA, Curry DJ, Malbari F, Chintagumpala MM, Adesina AM, Fisher KE, Mack SC, Plon SE, Roy A, Parsons DW, Lin FY.","JCO Precis Oncol. 2021 Jul 28;5:PO.20.00375. doi: 10.1200/PO.20.00375. eCollection 2021.","Mangum R","JCO Precis Oncol","2021","2021/10/15","PMC8509924","","10.1200/PO.20.00375"
"34480685","The role of future-oriented affect in engagement with genomic testing results","Gillman AS, Iles IA, Klein WMP, Biesecker BB, Lewis KL, Biesecker LG, Ferrer RA.","J Behav Med. 2022 Feb;45(1):103-114. doi: 10.1007/s10865-021-00253-7. Epub 2021 Sep 4.","Gillman AS","J Behav Med","2022","2021/09/04","PMC8821111","NIHMS1741596","10.1007/s10865-021-00253-7"
"34448595","Creating accessible Spanish language materials for Clinical Sequencing Evidence-Generating Research consortium genomic projects: challenges and lessons learned","Lindberg NM, Gutierrez AM, Mittendorf KF, Ramos MA, Anguiano B, Angelo F, Joseph G.","Per Med. 2021 Sep;18(5):441-454. doi: 10.2217/pme-2020-0075. Epub 2021 Aug 27.","Lindberg NM","Per Med","2021","2021/08/27","PMC8438935","","10.2217/pme-2020-0075"
"34433902","A systematic literature review of disclosure practices and reported outcomes for medically actionable genomic secondary findings","Sapp JC, Facio FM, Cooper D, Lewis KL, Modlin E, van der Wees P, Biesecker LG.","Genet Med. 2021 Dec;23(12):2260-2269. doi: 10.1038/s41436-021-01295-7. Epub 2021 Aug 26.","Sapp JC","Genet Med","2021","2021/08/26","PMC9017985","NIHMS1754144","10.1038/s41436-021-01295-7"
"34400813","PPA2-associated sudden cardiac death: extending the clinical and allelic spectrum in 20 new families","Guimier A, Achleitner MT, Moreau de Bellaing A, Edwards M, de Pontual L, Mittal K, Dunn KE, Grove ME, Tysoe CJ, Dimartino C, Cameron J, Kanthi A, Shukla A, van den Broek F, Chatterjee D, Alston CL, Knowles CV, Brett L, Till JA, Homfray T, French P, Spentzou G, Elserafy NA, Lichkus KS, Sankaran BP, Kennedy HL, George PM, Kidd A, Wortmann SB, Fisk DG, Koopmann TT, Rafiq MA, Merker JD, Parikh S, Ahimaz P, Weintraub RG, Ma AS, Turner C, Ellaway CJ, Phillips LK, Thorburn DR, Chung WK, Kana SL, Faye-Petersen OM, Thompson ML, Janin A, McLeod K, McGowan R, McFarland R, Girisha KM, Morris-Rosendahl DJ, Hurst ACE, Turner CLS, Hamilton RM, Taylor RW, Bajolle F, Gordon CT, Amiel J, Mayr JA, Doudney K.","Genet Med. 2021 Dec;23(12):2415-2425. doi: 10.1038/s41436-021-01296-6. Epub 2021 Aug 16.","Guimier A","Genet Med","2021","2021/08/17","PMC8629752","","10.1038/s41436-021-01296-6"
"34302314","Barriers to family history knowledge and family communication among LGBTQ+ individuals in the context of hereditary cancer risk assessment","Rolf BA, Schneider JL, Amendola LM, Davis JV, Mittendorf KF, Schmidt MA, Jarvik GP, Wilfond BS, Goddard KAB, Ezzell Hunter J.","J Genet Couns. 2022 Feb;31(1):230-241. doi: 10.1002/jgc4.1476. Epub 2021 Jul 23.","Rolf BA","J Genet Couns","2022","2021/07/24","PMC8783924","NIHMS1719749","10.1002/jgc4.1476"
"34231930","Influence of payer coverage and out-of-pocket costs on ordering of NGS panel tests for hereditary cancer in diverse settings","Lin GA, Trosman JR, Douglas MP, Weldon CB, Scheuner MT, Kurian A, Phillips KA.","J Genet Couns. 2022 Feb;31(1):130-139. doi: 10.1002/jgc4.1459. Epub 2021 Jul 7.","Lin GA","J Genet Couns","2022","2021/07/07","PMC8893352","NIHMS1778040","10.1002/jgc4.1459"
"34127041","Evaluating the clinical utility of early exome sequencing in diverse pediatric outpatient populations in the North Carolina Clinical Genomic Evaluation of Next-generation Exome Sequencing (NCGENES) 2 study: a randomized controlled trial","Staley BS, Milko LV, Waltz M, Griesemer I, Mollison L, Grant TL, Farnan L, Roche M, Navas A, Lightfoot A, Foreman AKM, O'Daniel JM, O'Neill SC, Lin FC, Roman TS, Brandt A, Powell BC, Rini C, Berg JS, Bensen JT.","Trials. 2021 Jun 14;22(1):395. doi: 10.1186/s13063-021-05341-2.","Staley BS","Trials","2021","2021/06/15","PMC8201439","","10.1186/s13063-021-05341-2"
"34113009","GenomeDiver: a platform for phenotype-guided medical genomic diagnosis","Pearson NM, Stolte C, Shi K, Beren F, Abul-Husn NS, Bertier G, Brown K, Diaz GA, Odgis JA, Suckiel SA, Horowitz CR, Wasserstein M, Gelb BD, Kenny EE, Gagnon C, Jobanputra V, Bloom T, Greally JM.","Genet Med. 2021 Oct;23(10):1998-2002. doi: 10.1038/s41436-021-01219-5. Epub 2021 Jun 10.","Pearson NM","Genet Med","2021","2021/06/11","PMC8488006","NIHMS1717833","10.1038/s41436-021-01219-5"
"34086347","Genomic analysis and preclinical xenograft model development identify potential therapeutic targets for MYOD1-mutant soft-tissue sarcoma of childhood","Ting MA, Reuther J, Chandramohan R, Voicu H, Gandhi I, Liu M, Cortes-Santiago N, Foster JH, Hicks J, Nuchtern J, Scollon S, Plon SE, Chintagumpala M, Rainusso N, Roy A, Parsons DW.","J Pathol. 2021 Sep;255(1):52-61. doi: 10.1002/path.5736. Epub 2021 Jul 7.","Ting MA","J Pathol","2021","2021/06/04","","","10.1002/path.5736"
"34057224","Preference for secondary findings in prenatal and pediatric exome sequencing","Swanson K, Sparks TN, Lianoglou BR, Chen F, Downum S, Patel S, Rego S, Yip T, Van Ziffle J, Koenig BA, Slavotinek AM, Norton ME.","Prenat Diagn. 2022 May;42(6):753-761. doi: 10.1002/pd.5973. Epub 2021 Jun 7.","Swanson K","Prenat Diagn","2022","2021/05/31","PMC8630094","NIHMS1718773","10.1002/pd.5973"
"33987754","Dyadic concordance and associations of beliefs with intentions to learn carrier results from genomic sequencing","Huelsnitz CO, Turbitt E, Taber JM, Lewis KL, Biesecker LG, Biesecker BB, Klein WMP.","J Behav Med. 2021 Dec;44(6):860-866. doi: 10.1007/s10865-021-00222-0. Epub 2021 May 13.","Huelsnitz CO","J Behav Med","2021","2021/05/14","PMC8585812","","10.1007/s10865-021-00222-0"
"33984519","Cancer Health Assessments Reaching Many (CHARM): A clinical trial assessing a multimodal cancer genetics services delivery program and its impact on diverse populations","Mittendorf KF, Kauffman TL, Amendola LM, Anderson KP, Biesecker BB, Dorschner MO, Duenas DM, Eubanks DJ, Feigelson HS, Gilmore MJ, Hunter JE, Joseph G, Kraft SA, Lee SSJ, Leo MC, Liles EG, Lindberg NM, Muessig KR, Okuyama S, Porter KM, Riddle LS, Rolf BA, Rope AF, Zepp JM, Jarvik GP, Wilfond BS, Goddard KAB; CHARM study team.","Contemp Clin Trials. 2021 Jul;106:106432. doi: 10.1016/j.cct.2021.106432. Epub 2021 May 11.","Mittendorf KF","Contemp Clin Trials","2021","2021/05/13","PMC8336568","NIHMS1712605","10.1016/j.cct.2021.106432"
"33966955","Burden or benefit? Effects of providing education about and the option to request additional genomic findings from diagnostic exome sequencing: A randomized controlled trial","Rini C, Roche MI, Lin FC, Foreman AKM, Khan CM, Griesemer I, Waltz M, Lee K, O'Daniel JM, Evans JP, Berg JS, Henderson GE.","Patient Educ Couns. 2021 Dec;104(12):2989-2998. doi: 10.1016/j.pec.2021.04.026. Epub 2021 Apr 29.","Rini C","Patient Educ Couns","2021","2021/05/10","PMC8553797","NIHMS1700076","10.1016/j.pec.2021.04.026"
